Golden Gate Bridge,San Francisco,California,0,Sightseeing,False,4.8,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTY1Mzg0OTc4NTIyMjUyNzU0/golden-gate-bridge-gettyimages-671734928.jpg,https://www.goldengate.org/, 
Golden Spike Tower,North Platte,Nebraska,10,Sightseeing,False,4.7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/b9/03/73/entrance.jpg?w=1200&h=1200&s=1,https://goldenspiketower.com/, 
Grand Central Terminal,New York City,New York,0,Sightseeing,False,4.7,https://www.history.com/.image/ar_1:1%2Cc_fill%2Ccs_srgb%2Cfl_progressive%2Cq_auto:good%2Cw_1200/MTY4ODE0MzA5NjU1MTkzMDkz/grand-central-terminal-gettyimages-176608565.jpg,https://www.grandcentralterminal.com/, 
Gruene Historic District,San Antonio,Texas,10,Sightseeing,False,4.3,https://cdn2.hubspot.net/hub/97965/file-808194920.jpg?width=730&name=file-808194920.jpg,https://www.gruenetexas.com/, 
Haymarket District in Lincoln,Lincoln,Nebraska,0,Sightseeing,False,4.7,https://bloximages.chicago2.vip.townnews.com/journalstar.com/content/tncms/assets/v3/editorial/1/47/147575ea-1ec9-5d45-a3c6-bbaa639d3124/5a84f250e0c5d.image.jpg?crop=999%2C999%2C250%2C0&resize=1200%2C1200&order=crop%2Cresize,https://lincolnhaymarket.org/, 
Hearst Castle,San Francisco,California,35,Educational,True,4.6,https://upload.travelawaits.com/ta/uploads/2021/04/06ca25982abcd8e52b86d2d7526d206ca25-scaled.jpg,https://hearstcastle.org/, 
Henry Doorly Zoo,Omaha,Nebraska,20,Educational,False,4.8,https://www.loveourcrazylife.com/wp-content/uploads/2015/07/17484135881_faf4233f74_z.jpg,https://www.omahazoo.com/, 
High Line,New York City,New York,0,Sightseeing,False,4.7,https://edc.nyc/sites/default/files/styles/1x1_md/public/2019-06/projects-the-highline-photo-brittany-petronella-nyc-and-company-05.jpg?h=56d0ca2e&itok=l-7KQn_B,https://www.thehighline.org/, 
Houston's Museum District,Houston,Texas,20,Educational,True,4.5,https://img.texasmonthly.com/2015/04/tripguides_interior33.jpg?auto=compress&crop=faces&fit=crop&fm=jpg&h=1400&ixlib=php-1.2.1&q=45&w=1400,https://houmuse.org/, 
Johnson Space Center,Houston,Texas,30,Educational,False,4.6,https://www.tripsavvy.com/thmb/Zh8L1Zq0Xwj0dtnJPr5Mw-eqX4M=/3332x2499/smart/filters:no_upscale()/us-space-history-apollo-1152683403-d27ff1ecee084f1f9ee753f3cc1928d2.jpg,https://www.nasa.gov/centers/johnson/home/index.html, 
Joshua Tree National Park,Los Angeles,California,30,Nature,False,4.8,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,f_jpg,g_xy_center,h_297,q_65,w_315,x_889,y_402/v1/clients/palmsprings/joshua_tree_ecedb690-b210-454b-8203-f807e2448036.jpg",https://www.nps.gov/jotr/index.htm, 
Kennedy Space Center,Orlando,Florida,50,Educational,False,4,https://visitbayareahouston.com/wp-content/uploads/2021/09/spacecenter-1024x1017.png,https://www.kennedyspacecenter.com/, 
Lake Tahoe,San Francisco,California,10,Nature,False,4.8,https://images.barrons.com/im-442067?width=1280&size=1,https://tahoesouth.com/, 
Lied Center,Lincoln,Nebraska,50,Pleasure,True,4.3,https://www.liedcenter.org/sites/default/files/styles/event_listing/public/teasers/andrew_and_kamerin_on_lied_stage.jpg?itok=0monEkvb,https://www.liedcenter.org/, 
Metropolitan Museum of Art,New York City,New York,25,Educational,True,4.8,https://static01.nyt.com/images/2020/04/01/arts/30virus-met-pix/merlin_170961942_70c85c06-e92b-4dbd-b91e-d32688493352-mediumSquareAt3X.jpg,https://www.metmuseum.org/, 
Miami Beach,Miami,Florida,0,Pleasure,False,4.4,https://images.squarespace-cdn.com/content/v1/5830e824c534a5539424a2ce/1619372362752-XAVBUXSZTEQID74SMF1E/577F3A76-EE1E-4680-A2ED-9516FB813818.jpg?format=1000w,https://www.miamibeachfl.gov/, 
National Museum of Roller Skating,Lincoln,Nebraska,0,Educational,True,3.9,https://ghosty-production.s3.amazonaws.com/fotospot_spots/National-Museum-of-Rollerskating-Fotospot_dd70d6d30b310a43650607af29155fb5/large.jpg,https://www.rollerskatingmuseum.org/, 
Natural Bridge Caverns,San Antonio,Texas,30,Nature,False,4.7,https://naturalbridgecaverns.com/wp-content/uploads/2019/09/6-10-Natural-Bridge-005-F_4x4.jpg,https://naturalbridgecaverns.com/, 
Nebraska State Capitol,Lincoln,Nebraska,0,Sightseeing,True,4.5,https://capitol.nebraska.gov/wp-content/uploads/2019/07/mem_chamber_topper_view1-83.jpg,https://en.wikipedia.org/wiki/Nebraska_State_Capitol, 
New York Public Library,New York City,New York,0,Educational,True,4.7,https://images.adsttc.com/media/images/536b/94aa/c07a/8072/5e00/00cd/large_jpg/1355953846-1674-fp468258-indesign.jpg?1399559319,https://www.nypl.org/, 
Old Market in Omaha,Omaha,Nebraska,0,Sightseeing,False,4.4,"https://static.wixstatic.com/media/17973e_03755a2f0ef346c487831e8a95672b02~mv2.jpg/v1/crop/x_1,y_105,w_1454,h_726/fill/w_552,h_448,al_c,q_80,usm_0.66_1.00_0.01/DSC_0236.webp",https://oldmarket.com/, 
One World Observatory,New York City,New York,43,Pleasure,True,4.7,https://pyxis.nymag.com/v1/imgs/140/9ef/d7e9d6eeb718d2a264d74302eef5e96886-29-critics-architecture.rsquare.w700.jpg,https://www.oneworldobservatory.com/en-US/, 
Padre Island National Seashore,San Antonio,Texas,20,Nature,False,4.4,https://render.fineartamerica.com/images/rendered/small/print/images/artworkimages/square/2/padre-island-national-seashore-yinyang.jpg,https://www.nps.gov/pais/index.htm, 
Radio City Music Hall,New York City,New York,31,Pleasure,True,4.7,https://aws-tiqets-cdn.imgix.net/images/content/1488b5cbd87845228820239218b57924.jpg?auto=format&fit=crop&h=800&ixlib=python-3.2.1&q=70&w=800&s=247a69401ec103d041afeb2681c89401,https://www.msg.com/radio-city-music-hall, 
Redwood National Park,San Francisco,California,0,Nature,False,4.8,https://www.nps.gov/common/uploads/grid_builder/redw/crop1_1/60D0481D-BDC1-4F54-49342D5FB4C8D60E.jpg?width=640&quality=90&mode=crop,https://www.nps.gov/redw/index.htm, 
Rockefeller Center,New York City,New York,40,Sightseeing,True,4.7,https://cdn.sanity.io/images/bs9rmafh/main/e58a153f0d183f4dc165199e4e8ba0a3e300bc50-1840x2002.jpg?w=800&h=870&fit=crop,https://www.rockefellercenter.com/, 
Salvador Dali Museum,Tampa,Florida,20,Educational,True,4.7,https://www.mustdo.com/wp-content/uploads/2016/12/Dali-Museum-St.-Petersburg-Florida.jpg,https://thedali.org/, 
San Antonio's River Walk,San Antonio,Texas,0,Sightseeing,False,4.7,https://upload.travelawaits.com/ta/uploads/2021/04/the-san-antonio-river-walk-inb5a0a4.jpg,https://www.thesanantonioriverwalk.com/, 
Santa Catalina Island,Los Angeles,California,0,Sightseeing,False,4.6,https://www.tripsavvy.com/thmb/QiDO05SKkNsLrQVzCnwWRI7jSCQ=/1000x1000/smart/filters:no_upscale()/20090516__0069-1000x1500-58c39fe83df78c353cf97bfc.jpg,https://www.visitcatalinaisland.com/, 
Scottsbluff National Monument,Scottsbluff,Nebraska,0,Sightseeing,False,4.8,https://bloximages.chicago2.vip.townnews.com/theindependent.com/content/tncms/assets/v3/editorial/8/c3/8c3df7d2-2748-11e6-9262-676e98c59aed/574db531f1144.image.jpg?crop=1175%2C1175%2C294%2C0&resize=1200%2C1200&order=crop%2Cresize,https://www.nps.gov/scbl/index.htm, 
SeaWorld Orlando,Orlando,Florida,80,Educational,False,4.5,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,f_jpg,g_xy_center,h_640,q_75,w_640,x_322,y_381/v1/clients/orlandofl/gcm_seaworld_now_open_hero_640x640_251dfb49-9c01-489f-817f-6300b36ab8f5.jpg",https://seaworld.com/orlando/, 
